country,country_code_m49,year,month,temp_change_c
Algeria,012,2020,5,2.889
Algeria,012,2021,5,3.652
Algeria,012,2022,5,1.48
Algeria,012,2023,5,0.64
Algeria,012,2024,5,3.152
Algeria,012,2025,5,2.218
Algeria,012,2020,6,1.874
Algeria,012,2021,6,3.145
Algeria,012,2022,6,2.917
Algeria,012,2023,6,1.378
Algeria,012,2024,6,3.433
Algeria,012,2025,6,2.326
Algeria,012,2020,7,1.794
Algeria,012,2021,7,2.859
Algeria,012,2022,7,1.682
Algeria,012,2023,7,3.615
Algeria,012,2024,7,3.313
Algeria,012,2025,7,2.355
Algeria,012,2020,8,2.181
Algeria,012,2021,8,2.424
Algeria,012,2022,8,2.182
Algeria,012,2023,8,1.854
Algeria,012,2024,8,2.421
Algeria,012,2025,8,1.747
Algeria,012,2020,9,1.829
Algeria,012,2021,9,3.263
Algeria,012,2022,9,3.021
Algeria,012,2023,9,2.423
Algeria,012,2024,9,1.71
Algeria,012,2025,9,2.072
Algeria,012,2020,10,1.828
Algeria,012,2021,10,1.763
Algeria,012,2022,10,2.845
Algeria,012,2023,10,3.364
Algeria,012,2024,10,3.636
Algeria,012,2025,10,3.123
Algeria,012,2020,11,1.505
Algeria,012,2021,11,1.226
Algeria,012,2022,11,1.845
Algeria,012,2023,11,2.959
Algeria,012,2024,11,3.404
Algeria,012,2025,11,2.072
Algeria,012,2020,12,1.652
Algeria,012,2021,12,1.366
Algeria,012,2022,12,4.059
Algeria,012,2023,12,1.582
Algeria,012,2024,12,0.826
Algeria,012,2025,12,0.892
American Samoa,016,2020,1,1.092
American Samoa,016,2021,1,0.992
American Samoa,016,2022,1,1.092
American Samoa,016,2023,1,0.942
American Samoa,016,2024,1,2.342
American Samoa,016,2025,1,1.022
American Samoa,016,2020,2,0.544
American Samoa,016,2021,2,0.644
American Samoa,016,2022,2,0.844
American Samoa,016,2023,2,-0.706
American Samoa,016,2024,2,1.794
American Samoa,016,2025,2,1.374
American Samoa,016,2020,3,1.502
American Samoa,016,2021,3,0.852
American Samoa,016,2022,3,1.802
American Samoa,016,2023,3,1.052
American Samoa,016,2024,3,2.202
American Samoa,016,2025,3,1.122
American Samoa,016,2020,4,1.358
American Samoa,016,2021,4,0.808
American Samoa,016,2022,4,1.308
American Samoa,016,2023,4,0.858
American Samoa,016,2024,4,2.268
American Samoa,016,2025,4,1.398
American Samoa,016,2020,5,1.968
American Samoa,016,2021,5,1.168
American Samoa,016,2022,5,1.168
American Samoa,016,2023,5,1.018
American Samoa,016,2024,5,2.218
American Samoa,016,2025,5,0.978
American Samoa,016,2020,6,1.05
American Samoa,016,2021,6,0.8
American Samoa,016,2022,6,1.05
American Samoa,016,2023,6,1.1
American Samoa,016,2024,6,1.45
American Samoa,016,2025,6,0.92
American Samoa,016,2020,7,1.525
American Samoa,016,2021,7,1.725
American Samoa,016,2022,7,0.875
American Samoa,016,2023,7,1.325
American Samoa,016,2024,7,1.375
American Samoa,016,2025,7,0.515
American Samoa,016,2020,8,1.683
American Samoa,016,2021,8,0.933
American Samoa,016,2022,8,0.483
American Samoa,016,2023,8,2.233
American Samoa,016,2024,8,0.733
American Samoa,016,2025,8,1.593
American Samoa,016,2020,9,1.158
American Samoa,016,2021,9,1.408
American Samoa,016,2022,9,1.158
American Samoa,016,2023,9,0.858
American Samoa,016,2024,9,1.128
American Samoa,016,2025,9,0.278
American Samoa,016,2020,10,1.032
American Samoa,016,2021,10,1.632
American Samoa,016,2022,10,0.982
American Samoa,016,2023,10,0.982
American Samoa,016,2024,10,1.802
American Samoa,016,2025,10,0.872
American Samoa,016,2020,11,0.812
American Samoa,016,2021,11,1.062
American Samoa,016,2022,11,0.912
American Samoa,016,2023,11,2.312
American Samoa,016,2024,11,1.182
American Samoa,016,2025,11,0.652
American Samoa,016,2020,12,0.806
American Samoa,016,2021,12,1.006
American Samoa,016,2022,12,1.006
American Samoa,016,2023,12,1.406
American Samoa,016,2024,12,1.326
American Samoa,016,2025,12,1.186
Andorra,020,2020,1,2.157
Andorra,020,2021,1,0.046
Andorra,020,2022,1,0.467
